doctor_id,specialty,region,language,quality_score,daily_minutes,gender,age,race,service_type,services_count,experience_years,board_certified,hires_at,current_panel_size,expected_workload,max_workload,working_weeks_by_year
1,family_practice,South,es,0.689,360,F,55,Asian,group,4,30,True,,0,0.0,46800,"{""2023"": [1, 5, 6, 8, 10, 11, 14, 15, 17, 21, 23, 25, 27, 29, 30, 32, 34, 37, 38, 41, 44, 45, 46, 47, 49, 50]}"
2,family_practice,North,en,0.61,360,F,54,Black,group,4,14,True,,0,0.0,46800,"{""2023"": [3, 4, 9, 12, 13, 14, 16, 18, 20, 24, 25, 26, 28, 31, 32, 34, 37, 38, 39, 41, 42, 43, 48, 50, 51, 52]}"
3,family_practice,North,es,0.724,360,F,38,Other,solo,3,22,True,,0,0.0,46800,"{""2023"": [5, 8, 9, 10, 11, 14, 15, 16, 17, 18, 19, 23, 24, 25, 27, 30, 32, 36, 38, 39, 41, 42, 43, 45, 46, 50]}"
4,family_practice,East,en,0.735,360,F,54,Hispanic,solo,4,12,True,,0,0.0,46800,"{""2023"": [4, 8, 9, 10, 12, 13, 19, 20, 21, 22, 26, 28, 30, 31, 33, 34, 35, 36, 37, 38, 41, 42, 45, 47, 49, 50]}"
5,family_practice,East,es,0.665,360,F,47,Black,solo,4,7,True,,0,0.0,46800,"{""2023"": [6, 8, 9, 10, 11, 12, 14, 15, 16, 17, 21, 23, 24, 25, 26, 32, 34, 39, 41, 42, 44, 45, 48, 49, 50, 52]}"
6,family_practice,North,en,0.617,360,F,49,Asian,solo,2,9,True,,0,0.0,46800,"{""2023"": [4, 5, 6, 7, 9, 10, 13, 16, 17, 18, 23, 24, 25, 26, 27, 29, 30, 31, 32, 33, 35, 37, 45, 46, 49, 52]}"
7,family_practice,South,es,0.779,360,M,50,Asian,group,4,8,True,,0,0.0,46800,"{""2023"": [1, 6, 7, 8, 9, 11, 13, 16, 18, 24, 27, 28, 29, 30, 32, 33, 35, 37, 39, 40, 42, 43, 44, 45, 48, 52]}"
8,family_practice,East,es,0.804,360,M,65,White,group,2,39,False,,0,0.0,46800,"{""2023"": [1, 4, 5, 6, 7, 9, 10, 11, 15, 16, 23, 24, 25, 29, 31, 32, 33, 37, 38, 40, 42, 43, 44, 46, 49, 50]}"
9,family_practice,South,zh,0.85,360,M,57,Black,group,2,17,True,,0,0.0,46800,"{""2023"": [7, 8, 10, 12, 13, 14, 17, 18, 20, 23, 24, 25, 27, 29, 30, 31, 34, 37, 41, 42, 45, 46, 48, 49, 50, 51]}"
10,family_practice,North,es,0.694,360,M,34,Black,group,2,19,True,,0,0.0,46800,"{""2023"": [1, 2, 4, 7, 10, 12, 13, 15, 16, 18, 19, 22, 23, 28, 29, 39, 40, 43, 45, 46, 47, 48, 49, 50, 51, 52]}"
11,family_practice,North,es,0.84,360,M,42,Black,solo,4,13,True,,0,0.0,46800,"{""2023"": [3, 7, 8, 10, 11, 16, 19, 21, 23, 24, 25, 26, 27, 29, 32, 34, 35, 36, 37, 38, 39, 43, 46, 47, 48, 51]}"
12,family_practice,East,es,0.726,360,M,60,Other,group,5,29,False,,0,0.0,46800,"{""2023"": [2, 3, 6, 9, 10, 11, 13, 14, 15, 16, 18, 19, 24, 25, 26, 30, 33, 36, 37, 38, 42, 45, 47, 48, 49, 52]}"
13,family_practice,Central,es,0.893,360,F,32,White,group,2,28,True,,0,0.0,46800,"{""2023"": [1, 2, 4, 5, 8, 9, 10, 12, 16, 18, 19, 20, 21, 22, 24, 27, 28, 29, 34, 37, 41, 43, 44, 47, 50, 51]}"
14,family_practice,West,es,0.618,360,F,40,Asian,solo,4,3,True,,0,0.0,46800,"{""2023"": [1, 3, 4, 8, 9, 11, 12, 14, 21, 22, 25, 26, 27, 28, 29, 30, 35, 37, 40, 41, 43, 46, 47, 48, 50, 52]}"
15,family_practice,South,zh,0.783,360,M,63,White,solo,5,14,True,,0,0.0,46800,"{""2023"": [1, 2, 3, 6, 7, 8, 15, 16, 17, 20, 23, 25, 26, 27, 28, 29, 32, 34, 35, 37, 38, 46, 47, 49, 51, 52]}"
16,family_practice,East,es,0.749,360,F,49,Other,group,1,39,True,,0,0.0,46800,"{""2023"": [1, 2, 3, 4, 5, 7, 11, 12, 14, 19, 21, 22, 24, 25, 28, 29, 30, 35, 37, 39, 40, 42, 44, 46, 49, 50]}"
17,family_practice,East,es,0.961,360,M,44,Other,solo,4,38,True,,0,0.0,46800,"{""2023"": [1, 2, 7, 8, 9, 11, 13, 14, 15, 17, 19, 20, 24, 25, 26, 28, 29, 30, 31, 32, 37, 40, 42, 47, 51, 52]}"
18,family_practice,North,es,0.774,360,F,33,Other,group,2,19,True,,0,0.0,46800,"{""2023"": [1, 2, 5, 8, 9, 10, 12, 13, 15, 19, 20, 23, 24, 25, 26, 27, 29, 31, 32, 33, 35, 38, 40, 47, 50, 52]}"
19,family_practice,West,es,0.938,360,F,41,Asian,group,5,34,True,,0,0.0,46800,"{""2023"": [3, 5, 6, 7, 9, 12, 14, 19, 22, 23, 24, 25, 27, 29, 30, 32, 33, 34, 35, 36, 42, 46, 47, 50, 51, 52]}"
20,family_practice,West,zh,0.721,360,F,47,Black,group,3,15,True,,0,0.0,46800,"{""2023"": [4, 5, 6, 7, 11, 15, 18, 19, 20, 22, 25, 26, 27, 28, 31, 33, 34, 35, 36, 39, 41, 42, 44, 47, 48, 50]}"
21,family_practice,Central,es,0.697,360,F,30,Other,solo,2,23,False,,0,0.0,46800,"{""2023"": [2, 3, 6, 7, 9, 13, 14, 15, 18, 19, 20, 21, 24, 25, 30, 31, 32, 34, 35, 38, 39, 40, 43, 44, 46, 47]}"
22,family_practice,North,zh,0.781,360,F,61,Black,solo,5,12,True,,0,0.0,46800,"{""2023"": [3, 4, 7, 9, 11, 12, 14, 15, 16, 17, 18, 19, 20, 21, 23, 27, 29, 30, 33, 36, 38, 42, 43, 44, 46, 49]}"
23,family_practice,Central,zh,0.888,360,F,62,Hispanic,group,1,12,False,,0,0.0,46800,"{""2023"": [1, 7, 9, 11, 12, 13, 15, 17, 19, 23, 24, 25, 27, 28, 33, 34, 35, 37, 39, 41, 43, 44, 46, 47, 48, 52]}"
24,family_practice,Central,zh,0.904,360,F,60,Black,group,5,40,True,,0,0.0,46800,"{""2023"": [1, 6, 10, 12, 16, 18, 19, 20, 21, 23, 25, 26, 28, 29, 30, 34, 36, 38, 39, 41, 42, 46, 47, 48, 49, 51]}"
25,family_practice,West,es,0.741,360,M,55,Hispanic,solo,1,20,True,,0,0.0,46800,"{""2023"": [3, 5, 6, 8, 14, 15, 17, 19, 21, 22, 23, 24, 25, 26, 28, 30, 32, 33, 34, 35, 36, 37, 41, 45, 46, 48]}"
26,family_practice,North,es,0.797,360,F,38,Other,group,3,16,True,,0,0.0,46800,"{""2023"": [1, 2, 5, 7, 8, 9, 10, 12, 13, 16, 24, 25, 27, 28, 29, 30, 32, 33, 34, 37, 40, 41, 42, 43, 51, 52]}"
27,family_practice,West,zh,0.877,360,M,60,Other,group,3,3,True,,0,0.0,46800,"{""2023"": [3, 5, 7, 8, 11, 12, 14, 16, 17, 18, 20, 21, 23, 24, 26, 28, 33, 36, 38, 39, 40, 43, 45, 46, 47, 49]}"
28,family_practice,East,zh,0.655,360,M,37,Black,group,2,3,True,,0,0.0,46800,"{""2023"": [2, 3, 4, 7, 8, 10, 13, 14, 15, 18, 21, 22, 23, 26, 27, 29, 30, 31, 32, 33, 35, 37, 40, 44, 47, 51]}"
