doctor_id,specialty,region,language,quality_score,daily_minutes,gender,age,race,service_type,services_count,experience_years,board_certified,current_panel_size,expeceted_workload,max_workload,hires_at
1,family_practice,North,en,0.649,360,M,61,Black,group,4,21,False,131,1576.5227999999997,1560.0,
2,family_practice,Central,en,0.691,360,F,56,Asian,group,4,30,True,109,1564.1630999999995,1560.0,
3,family_practice,East,es,0.723,360,M,31,Hispanic,solo,2,16,True,175,1561.1156000000008,1560.0,
4,family_practice,West,zh,0.623,360,M,36,Asian,group,1,16,True,132,1562.7575999999997,1560.0,
5,family_practice,North,zh,0.947,360,F,31,Asian,group,4,29,True,122,1561.6931999999997,1560.0,
6,family_practice,North,es,0.729,360,M,32,White,solo,1,39,True,77,1573.0465000000004,1560.0,
7,family_practice,South,zh,0.866,360,F,48,Asian,group,2,1,False,170,1561.8905999999988,1560.0,
8,family_practice,Central,zh,0.896,360,F,58,Black,group,4,39,True,119,1576.1879,1560.0,
9,family_practice,West,zh,0.815,360,M,50,White,solo,1,39,True,126,1561.1979999999999,1560.0,
10,family_practice,Central,es,0.871,360,F,40,Other,solo,5,29,True,104,1582.6067,1560.0,
11,family_practice,East,es,0.653,360,M,45,White,solo,5,6,True,125,1583.63,1560.0,
12,family_practice,Central,zh,0.62,360,F,45,Other,solo,1,4,True,143,1562.7567999999999,1560.0,
13,family_practice,East,zh,0.811,360,M,30,Hispanic,solo,5,25,True,117,1586.5972000000002,1560.0,
14,family_practice,South,es,0.779,360,M,35,Black,solo,1,30,True,118,1586.2737,1560.0,
15,family_practice,West,en,0.922,360,M,34,White,solo,2,30,True,105,1577.0942000000002,1560.0,
16,family_practice,West,es,0.613,360,M,49,Asian,solo,2,16,True,116,1561.2047000000002,1560.0,
17,family_practice,North,es,0.831,360,F,32,Hispanic,group,2,31,True,142,1577.0282999999997,1560.0,
18,family_practice,South,en,0.807,360,M,53,Other,group,5,38,True,87,1561.9647000000002,1560.0,
19,family_practice,South,es,0.831,360,F,56,Asian,group,2,6,True,166,1574.1832999999988,1560.0,
20,family_practice,Central,zh,0.626,360,M,65,Black,solo,4,26,True,113,1583.5528000000002,1560.0,
21,family_practice,Central,es,0.84,360,F,43,Black,group,3,3,True,154,1563.158399999999,1560.0,
22,family_practice,East,es,0.761,360,M,55,Other,solo,1,28,True,110,1565.6931000000004,1560.0,
23,family_practice,Central,en,0.895,360,F,48,Black,group,4,19,True,124,1570.1402999999982,1560.0,
24,family_practice,East,es,0.661,360,F,62,Black,solo,1,32,True,144,1566.026199999999,1560.0,
25,family_practice,East,es,0.714,360,F,49,Hispanic,solo,3,17,True,177,1573.9141999999972,1560.0,
26,family_practice,North,es,0.736,360,M,57,White,group,2,8,True,110,1575.0835000000002,1560.0,
27,family_practice,West,en,0.942,360,F,37,Other,group,3,30,True,96,1562.2763999999995,1560.0,
28,family_practice,East,zh,0.754,360,F,31,Hispanic,solo,1,38,True,162,1566.0044999999998,1560.0,
29,family_practice,South,es,0.72,360,M,55,White,solo,4,38,True,111,1567.8241000000003,1560.0,
30,family_practice,Central,es,0.79,360,F,39,Hispanic,group,4,34,True,124,1583.9178,1560.0,
31,family_practice,Central,zh,0.709,360,M,48,White,group,3,22,True,99,1575.6091999999996,1560.0,
32,family_practice,North,es,0.837,360,F,42,White,solo,1,35,True,164,1561.4723999999983,1560.0,
33,family_practice,East,zh,0.919,360,F,62,Black,solo,1,32,False,225,960.7455999999992,1560.0,
34,family_practice,West,zh,0.87,360,M,64,Other,group,2,25,True,100,1580.2216000000003,1560.0,
35,family_practice,East,es,0.761,360,F,34,Other,solo,5,24,True,158,1564.8999999999987,1560.0,
36,family_practice,Central,en,0.588,360,M,43,Hispanic,group,5,2,False,117,1560.9211999999995,1560.0,
37,family_practice,West,zh,0.817,360,F,64,Other,group,3,20,True,153,1564.1089999999979,1560.0,
38,family_practice,North,zh,0.991,360,F,36,Black,group,1,40,True,129,1575.6444999999992,1560.0,
39,family_practice,Central,en,0.926,360,F,44,White,group,1,8,True,125,1566.3748999999991,1560.0,
40,family_practice,East,zh,0.939,360,F,56,Black,group,2,30,True,145,1586.0385999999994,1560.0,
41,family_practice,North,en,0.929,360,F,34,White,group,3,26,True,117,1566.3976999999995,1560.0,
42,family_practice,Central,zh,0.864,360,M,63,Hispanic,solo,3,21,True,137,1575.3113000000005,1560.0,
43,family_practice,North,en,0.618,360,F,54,White,solo,1,19,True,137,1561.1061999999988,1560.0,
44,family_practice,South,es,0.682,360,M,57,Black,solo,4,27,True,151,1561.4165000000005,1560.0,
45,family_practice,West,en,0.889,360,M,62,Other,solo,5,16,True,112,1564.1036,1560.0,
46,family_practice,East,en,0.61,360,M,59,Other,group,2,14,True,104,1562.1608000000003,1560.0,
47,family_practice,East,es,0.696,360,M,64,White,group,5,22,True,100,1573.1879000000006,1560.0,
48,family_practice,East,en,0.633,360,F,33,White,group,2,24,True,129,1574.534799999999,1560.0,
49,family_practice,East,zh,0.802,360,F,47,White,group,1,34,True,160,1574.6307999999985,1560.0,
50,family_practice,South,es,0.975,360,M,52,Hispanic,group,4,29,True,90,1569.5606000000002,1560.0,
51,family_practice,North,es,0.893,360,F,49,Black,solo,4,18,False,165,1565.2932999999985,1560.0,
52,family_practice,Central,es,0.593,360,M,43,Hispanic,group,2,17,True,118,1567.2159,1560.0,
53,family_practice,South,zh,0.643,360,M,58,Asian,group,4,5,False,120,1570.6071999999997,1560.0,
54,family_practice,North,es,0.917,360,M,51,Other,group,2,8,False,119,1579.7738000000002,1560.0,
55,family_practice,South,en,0.727,360,M,45,Hispanic,solo,2,20,True,100,1576.0749000000005,1560.0,
56,family_practice,East,zh,0.843,360,M,33,Hispanic,solo,3,28,True,111,1575.0807000000007,1560.0,
57,family_practice,East,es,0.624,360,M,62,Hispanic,group,1,12,True,123,1587.577400000001,1560.0,
